Tool,Tính n?ng,Flow,End-user,T?n su?t s? d?ng tính n?ng,M?c ?? quan tr?ng c?a tính n?ng,Các tool khác c?n s? d?ng song song khi th?c hi?n thao tác này,C?n c?i thi?n,Tính n?ng hi?n t?i c?n b? sung,Final decision
EMS,T?o h?p ??ng và qu?n lý h?p ??ng,"T?o h?p ??ng cho nhân s? và l?u tr?
Theo dõi tình tr?ng h?p ??ng: s?p h?t h?n, ?ã h?t h?n, ...
Remind HR vi?c gia h?n h?p ??ng",HR,Daily,Hidden Manual Work,"Word, Excel ?? mail merge",Khi data gi?a các tool centralize thì CPO s? t?o h?p ??ng thu?n ti?n và thông tin chính xác,,S?a
EMS,Offboard nhân s?,Employee t?o ??n xin ngh? vi?c trên h? th?ng và th?c hi?n các th? t?c offboard theo ?úng quy ??nh,"Employee
HR",Weekly,Cross-System Integration Issue,"Microsoft Teams: thông báo t?i HR v? vi?c làm th? t?c ngh? vi?c cho nhân s?
Microsoft Teams: thông báo t?i PM, ng??i nh?n bàn giao v? vi?c th?c hi?n th? t?c bàn giao công vi?c
Jira: t?o request t?i IT ?? yêu c?u xóa tài kho?n, thu h?i máy, ...
Mail outlook: nhân s? dùng ?? g?i ??n xin ngh? vi?c",,,S?a
EMS,Offboard nhân s?,HR có th? ch? ??ng t?o và th?c hi?n quy trình ngh? vi?c cho nhân s?,HR,Weekly,Cross-System Integration Issue,,,,S?a
EMS,Xóa nhân s?,"Khi nhân s? offboard, xóa nhân s? kh?i h? th?ng",HR,Weekly,Must Fix,,Xóa nhân s? ? tool này ch?a sync v?i các tool khác,"Sync data gi?a các tool ?? ??m b?o consistent v? danh sách nhân s?, ID, h? tên, d? án, leader",S?a
Review Tool,Thêm m?i nhân s? vào h? th?ng,"T?o, s?a các nhân s?",HR,Monthly,Cross-System Integration Issue,"EMS: sync data nhân s? m?i
Google sheet: l?y thông tin v? leader mà HR l?u tr?","Hi?n t?i vi?c sync data t? EMS ch? h? tr? cho nhân s? SETA, do ?ó nhân s? BlueOC s? c?n nh?p manual","Sync data gi?a các tool ?? ??m b?o consistent v? danh sách nhân s?, ID, h? tên, d? án, leader",S?a
Review Tool,Assign và thay ??i ng??i ?ánh giá nhân s?,Assign ng??i ?ánh giá performance cho nhân s? và thay ??i khi có request,HR,Monthly,Must Fix,Microsoft Teams: nh?n request t? các PM/Leader qua tin nh?n v? vi?c ??i ng??i ?ánh giá,,"1 nhân s? s? có:
- ng??i ?ánh giá performance: có th? là PM, Techlead, leader tr?c ti?p
- ng??i approve timesheet: th??ng là PM, có th? là techlead
C?n sync c? data v? leader/PM và ng??i ?ánh giá gi?a các tool ?? ??m b?o ??ng nh?t. 
Khi thay ??i c?ng s? c?n sync",S?a
Review Tool,Request thay ??i nhân s? t?i Admin,,"PM, Leader",Monthly,Nice To Have,,,,B?
Review Tool,Leader/PM ?ánh giá nhân s?,"?ánh giá theo các tiêu chí có s?n
L?u tr? l?ch s? ?ánh giá","PM, Leader",Monthly,Must Fix,,,,Gi?
Review Tool,Ch?n chu k? ?ánh giá,"Ch?n chu k? ?ánh giá ? hi?n t?i ho?c quá kh? ?? ??m b?o ?ánh giá ?úng tháng, tháng nào c?ng ???c ?ánh giá. Tr??c ?ây, nhi?u TH ?ánh giá vào ??u tháng sau. khi export thì data b? ghi nh?n là data c?a tháng làm ?ánh giá --> gây sai l?ch d? li?u","PM, Leader",Monthly,Nice To Have,,,,
Review Tool,L?a ch?n nhân s? vào danh sách b?ng vàng thành tích ho?c danh sách nhân s? c?n ???c nh?c nh?,Tick ch?n các nhân s? vào 2 danh sách này,HR,Monthly,Automation Opportunity,"Google sheet/Excel: dùng ?? phân tích data
Mail: HR dùng ?? ?? xu?t danh sách b?ng vàng và danh sách c?n nh?c nh? t?i BOD",Hi?n t?i data ?ánh giá c?n t?i v? d?ng Excel và HR phân tích manual,C?n AI h? tr? phân tích và ?? xu?t nhân s? vào b?ng vàng thành tích và nhân s? c?n ???c nh?c nh?,S?a
Review Tool,Xóa nhân s?,,,Monthly,Must Fix,,Xóa nhân s? ? tool này ch?a sync v?i các tool khác,"Sync data gi?a các tool ?? ??m b?o consistent v? danh sách nhân s?, ID, h? tên, d? án, leader",S?a
Review Tool,Tính n?ng nhân s? t? ?ánh giá,Member t? ?ánh giá chính mình v?i các tiêu chí gi?ng nh? leader ?ánh giá member. ?ánh giá c?a member và leader là 2 ?ánh giá ??c l?p,Employee,Monthly,Must Keep,,,,Thêm m?i
Review Tool,,,,,,,,,Thêm m?i
Timesheet,T?o nhân s?,"T?o nhân s?, assign PM/leader là ng??i approve timesheet",HR,,Automation Opportunity,,,,Gi?
Timesheet,T?o nhân s?,"Set up gi? làm vi?c, hình th?c làm vi?c
Set up th?i gian ngh? phép
L?u tr? biometric",HR,"Khi nhân s? offboard, xóa nhân s? kh?i h? th?ng",Automation Opportunity,,,,S?a
Timesheet,"T?o l?nh: forget, làm bù, ngh? phép",T?o l?nh --> PM/Leader approve --> CPO Approve,"Employee
HR",,Must Keep,,,,Gi?
Timesheet,Theo dõi chuyên c?n c?a nhân s?,"Tab theo dõi th?i gian check in/out c?a toàn b? nhân s?
Theo dõi th?i gian ngh? phép c?a nhân s?","Employee
HR",,Must Fix,,,"AI h? tr? phân tích, warning nh?ng nhân s? c?n c?i thi?n chuyên c?n",Thêm m?i
Timesheet,Thay ??i PM/leader approve timesheet c?a nhân s?,S?a tr?c ti?p trên timesheet,HR,,Must Fix,,"vi?c thay ??i ch? th?c hi?n ? timesheet, ch?a sync qua các tool khác","Sync data gi?a các tool ?? ??m b?o consistent v? danh sách nhân s?, ID, h? tên, d? án, leader",S?a
Timesheet,Xóa nhân s?,"Khi nhân s? offboard, xóa nhân s? kh?i h? th?ng",HR,,Must Fix,,Xóa nhân s? ? tool này ch?a sync v?i các tool khác,"Sync data gi?a các tool ?? ??m b?o consistent v? danh sách nhân s?, ID, h? tên, d? án, leader",S?a
Timesheet,Tính ngày công,export d? li?u check in/out và ngày ngh? phép,CPO,,Must Keep,"Mail Outlook: nh?ng tr??ng h?p h?t h?n làm l?nh forget s? g?i mail kèm evidence t?i PM và cc admin
Excel: export file data r?i Vlookup vào file excel tính l??ng","liên quan ??n vi?c nhân s? ?i mu?n, h?p ?êm, v?n c?n làm manual
approve qua mail r?i update manual vào excel
s?a ??nh d?ng các s? trong file export",,S?a
Timesheet,H? tr? export các báo cáo lao ??ng,Xu?t report theo template ch? H?ng cung c?p,CPO,,Nice To Have,,,,Thêm m?i
Timesheet,Báo cáo b?o hi?m,export ra excel ?? nh?p hàng lo?t lên ph?n m?m b?o hi?m,CPO,,Nice To Have,Ph?n m?m b?o hi?m,,,Thêm m?i
Audit tool,T?o nhân s?,"T?o nhân s?, assign PM/leader/d? án",HR,Monthly,Cross-System Integration Issue,"EMS: sync data nhân s? m?i
Google sheet: l?y thông tin v? nhân s? mà HR l?u tr?","Hi?n t?i vi?c sync data t? EMS ch? h? tr? cho nhân s? SETA, do ?ó nhân s? BlueOC s? c?n nh?p manual","Sync data gi?a các tool ?? ??m b?o consistent v? danh sách nhân s?, ID, h? tên, d? án, leader",S?a
Audit tool,"Theo dõi t? ??ng vi ph?m các l?i:
- Set status Teams khi ngh? phép
- Log work/commit code trên Jira
- ?ánh giá mu?n/không ?ánh giá monthly cho member trên Review tool","Tool track t? ??ng qua Jira, Teams, Review Tool",HR,Daily,Must Keep,,"Data t? Jira ch?a th?c s? ?áng tin c?y. Nhi?u TH ghi nh?n l?i nh?ng track sai, ph?i check manual nhi?u.",,S?a
Audit tool,"Log manual các l?i không track ???c automate. VD: l?i nhóm 1: ?i mu?n liên t?c trong th?i gian dài, gây l? b?o m?t d? án,...","Log l?i th? công, sau ?ó tool ghi nh?n và x? lý y nh? các l?i t? ??ng khác",HR,Monthly,Must Keep,,,,Gi?
Audit tool,G?i email thông báo ghi nh?n và email k?t lu?n vi ph?m,"Khi phát hi?n l?i, tool t? ??ng g?i email báo ghi nh?n l?i t?i NL? -> ??m ng??c 24h n?u không có email gi?i trình thì s? g?i thêm 1 email k?t lu?n có vi ph?m.",HR,Daily,Must Keep,,,,Gi?
Audit tool,Báo cáo tình tr?ng vi ph?m,,HR,Monthly,Nice To Have,Excel: xu?t excel ?? tính s? ti?n th??ng tuân th? còn l?i sau khi vi ph?m,,,Gi?
Audit tool,Xóa nhân s?,"Khi nhân s? offboard, xóa nhân s? kh?i h? th?ng",HR,,Cross-System Integration Issue,,,,Thêm m?i
Planner,Ki?m soát và ??m b?o các meeting ???c t? ch?c ?úng quy trình,"Th?i l??ng phù h?p, có agenda ??y ?? tr??c bu?i h?p, ghi l?i và l?u tr? MoM, có follow-up action items sau bu?i h?p",,,,,,,Thêm m?i
Planner,T?o các action item sau bu?i h?p,,Employee,,,,,,Thêm m?i
Planner,Theo dõi và remind các task ch?a th?c hi?n ho?c s?p h?t h?n,,,,,,,,Thêm m?i
Planner,?ánh giá m?c ?? hoàn thành các task. Là 1 ngu?n ?ánh giá performance,,,,,,,,Thêm m?i
"Insight: c?n nh?ng insight gì, ??a ra quy?t ??nh gì",,,,,,,,,Thêm m?i
"KPI: h? th?ng các ch? s? OKR --> KPI, tr?ng s?, áp d?ng cho t?ng ??i t??ng, cách ?ánh giá (có ch? s? mình ?ánh giá, có ch? s? KH ?ánh giá), c? ch? review, ??c data cross-app (timesheet, review, finance, ...)",,,,,,,,,Thêm m?i
,Set up b? KPI cho t?ng nhân s?,,,,,,,,Thêm m?i
,Leader/PM ?ánh giá nhân s? ??nh kì,,,,,,,,Thêm m?i
,"T? ??ng l?y data t? các tool (Jira, Planner, ...) ?? h? tr? ?ánh giá KPI",,,,,,,,Thêm m?i
Finance,,,,,,,,,
?ào t?o,"Các tính n?ng ph?c v? ?ào t?o: l?u tr? h?c li?u, l?u tr? và ?ánh giá d? li?u h?c/d?y c?a employee
Là c? s? ?? ?ánh giá KPI nhân s?
?ánh giá hi?u qu? ?ào t?o",TBD,"Employee
L&D",,,,,,Thêm m?i
